fakulte,degisken,n,ortalama,medyan,ss,min,q1,q3,max
Guzel Sanatlar,glcm_contrast,209,86.23440704032808,61.95039682539682,60.501616594598325,13.749007936507937,42.40873015873016,111.77182539682536,284.99107142857144
Guzel Sanatlar,glcm_homogeneity,209,0.16721708808808267,0.16893563329684422,0.03409625933027003,0.0788026599571352,0.14462760902757538,0.19060874978270884,0.26574426671502893
Guzel Sanatlar,ndbi,209,0.07780194795693779,0.051460363,0.10653601330130714,-0.14876352,0.009940892,0.1090448,0.467279
Guzel Sanatlar,ndvi,209,0.06024567894258374,0.043688342,0.08624931178287117,-0.09888868,-8.282259e-4,0.110781774,0.41010848
Fen Edebiyat,glcm_contrast,273,158.33124382231526,142.13392857142856,82.53200629846474,22.474206349206355,88.90277777777777,215.515873015873,360.4900793650794
Fen Edebiyat,glcm_homogeneity,273,0.11913757700819128,0.11132963444657128,0.038940120706971434,0.04782176849764942,0.09212392733307762,0.13908759611894578,0.2483396357698896
Fen Edebiyat,ndbi,273,0.10554712894432235,0.08639347,0.12492889690464967,-0.23835717,0.016618306,0.17812853,0.49140432
Fen Edebiyat,ndvi,273,0.12609587645267398,0.11376734,0.12680676419788064,-0.075694665,0.034878165,0.18917795,0.6064315
Isletme,glcm_contrast,162,290.69996203213793,285.52033730158735,81.05903564871716,90.69444444444444,245.5436507936508,348.2641369047618,454.65575396825386
Isletme,glcm_homogeneity,162,0.08972868583443493,0.09067829438437572,0.01935640988598068,0.04658272532051564,0.07672862071576038,0.10229049485661862,0.13117756902755212
Isletme,ndbi,162,0.01176271597222223,0.012479750500000001,0.1085638843428888,-0.22432649,-0.0704624395,0.08576933650000002,0.3029539
Isletme,ndvi,162,0.21969695107901233,0.17111062500000002,0.21140902984214388,-0.080955155,0.0313518225,0.367052485,0.7040422
Denizcilik,glcm_contrast,69,298.20955544053373,308.81051587301596,66.18793854024781,144.31249999999994,269.26587301587307,345.58829365079373,412.125
Denizcilik,glcm_homogeneity,69,0.07772621532077925,0.07831893078163879,0.0130223453110615,0.04697213194551052,0.06837008868279343,0.08780937471217894,0.10497327556668264
Denizcilik,ndbi,69,-0.04838478315217391,-0.053767905,0.06829344271565697,-0.16297968,-0.098682955,0.004821601,0.11413969
Denizcilik,ndvi,69,0.36536850537347826,0.3904762,0.2079026920419525,-0.036285017,0.24100102,0.5139583,0.7731821
Hukuk,glcm_contrast,308,144.78728934755722,126.90823412698413,77.68115108012667,21.65575396825397,83.20337301587303,197.42311507936503,355.43452380952385
Hukuk,glcm_homogeneity,308,0.15964788206493422,0.1527674669309969,0.05166847231910827,0.05976185071938032,0.1155131094929003,0.19949278931583822,0.27650367880293747
Hukuk,ndbi,308,0.04131185141772728,0.029594284499999998,0.105022239166342,-0.17086428,-0.029854933749999996,0.0815261835,0.45607305
Hukuk,ndvi,308,0.1194089141857143,0.08992101,0.12159723835316671,-0.09852039,0.0373456105,0.17647659999999998,0.5547116
Muhendislik,glcm_contrast,714,231.44185035125162,220.14434523809524,101.53989621680068,36.88194444444444,149.6619543650794,315.86408730158735,482.24007936507934
Muhendislik,glcm_homogeneity,714,0.10870384332562537,0.108690079502291,0.030365352034897087,0.04203776833906955,0.08700055872368043,0.13195895230410984,0.18634735230611035
Muhendislik,ndbi,714,0.04262813877613445,0.0346090065,0.12416460301835235,-0.312877,-0.0422048275,0.12431024750000001,0.4376497
Muhendislik,ndvi,714,0.19571921530648456,0.166803135,0.180669770718438,-0.10493081,0.04649629275,0.30329,0.7981322
Mimarlik,glcm_contrast,216,243.96052873309816,238.25744047619048,67.60494514582156,92.68353174603176,196.23263888888886,287.0855654761905,423.7271825396824
Mimarlik,glcm_homogeneity,216,0.09505827696423859,0.0931708915254616,0.019953120106595407,0.04172612806660301,0.08059288763100064,0.10841308021612027,0.1401194029389604
Mimarlik,ndbi,216,0.019584526014212966,0.017957128500000002,0.09018861946823173,-0.20619097,-0.03298094325,0.0744666225,0.25150993
Mimarlik,ndvi,216,0.2191092007513889,0.19377058,0.1925766405215394,-0.096533336,0.072113605,0.298992185,0.7443028
Turizm,glcm_contrast,518,105.91477063798493,65.08432539682539,89.94341551378338,7.876984126984125,31.88764880952381,175.7614087301587,424.4801587301587
Turizm,glcm_homogeneity,518,0.21389563904276468,0.20714207098016474,0.07247307750098138,0.05673078333217007,0.16922403960069027,0.24866472481957388,0.4766827413182419
Turizm,ndbi,518,0.05916014677110039,0.0733706095,0.07827970665208346,-0.3045021,0.02956790825,0.1024729925,0.37910858
Turizm,ndvi,518,0.21299060779343632,0.17769960499999998,0.13688815288652503,-0.1,0.12315827375,0.26453419250000004,0.78786993
