degisken,seed,n,moran_I,beklenen,varyans,p
ndvi,101,10000,0.7659017547459855,-1.0001000100010001e-4,2.3210698978689185e-5,0
ndvi,202,10000,0.7715341590982285,-1.0001000100010001e-4,2.3225831820782466e-5,0
ndvi,303,10000,0.7663962939313795,-1.0001000100010001e-4,2.3238834846583635e-5,0
ndvi,404,10000,0.7667164174828048,-1.0001000100010001e-4,2.3176321961088083e-5,0
ndvi,505,10000,0.7605410058088042,-1.0001000100010001e-4,2.3242603469471526e-5,0
ndbi,101,10000,0.7623903068516037,-1.0001000100010001e-4,2.320737964709527e-5,0
ndbi,202,10000,0.7690274151638417,-1.0001000100010001e-4,2.322307625838329e-5,0
ndbi,303,10000,0.760537147061924,-1.0001000100010001e-4,2.3236175954569077e-5,0
ndbi,404,10000,0.7660301607613591,-1.0001000100010001e-4,2.3173424982705243e-5,0
ndbi,505,10000,0.7609497763778945,-1.0001000100010001e-4,2.3239750521567687e-5,0
glcm_contrast,101,10000,0.804816190120239,-1.0001000100010001e-4,2.3209447421722814e-5,0
glcm_contrast,202,10000,0.8079149012879557,-1.0001000100010001e-4,2.3224419054704508e-5,0
glcm_contrast,303,10000,0.8002869196367036,-1.0001000100010001e-4,2.3237331488587242e-5,0
glcm_contrast,404,10000,0.802662217471234,-1.0001000100010001e-4,2.3175012131565003e-5,0
glcm_contrast,505,10000,0.7997982320916535,-1.0001000100010001e-4,2.3241238548659423e-5,0
glcm_homogeneity,101,10000,0.8456348678815765,-1.0001000100010001e-4,2.320413587523235e-5,0
glcm_homogeneity,202,10000,0.8453216064392616,-1.0001000100010001e-4,2.32199449395568e-5,0
glcm_homogeneity,303,10000,0.8475001121792584,-1.0001000100010001e-4,2.3233156516357525e-5,0
glcm_homogeneity,404,10000,0.8381018448276252,-1.0001000100010001e-4,2.3170001787788427e-5,0
glcm_homogeneity,505,10000,0.8399881659095948,-1.0001000100010001e-4,2.3236759149499877e-5,0
